20240922_0719 | w2v_20240920_1_mc3_w44_v25_g50 	| euc 	| pearsonr | 0.0805 | 0.0 | 18.68s 
20240922_0719 | w2v_20240920_1_mc3_w44_v25_g50 	| euc 	| spearmanr | 0.1039 | 0.0 | 46.66s 
20240922_0719 | w2v_20240920_1_mc3_w44_v25_g50 	| cos 	| pearsonr | 0.0268 | 0.0 | 29.27s 
20240922_0719 | w2v_20240920_1_mc3_w44_v25_g50 	| cos 	| spearmanr | 0.0259 | 0.0 | 38.14s 
20240922_0719 | w2v_20240921_0_mc8_w21_v100 	| euc 	| pearsonr | 0.0557 | 0.0 | 17.06s 
20240922_0719 | w2v_20240921_0_mc8_w21_v100 	| euc 	| spearmanr | 0.064 | 0.0 | 29.29s 
20240922_0719 | w2v_20240921_0_mc8_w21_v100 	| cos 	| pearsonr | 0.0158 | 0.0 | 14.13s 
20240922_0719 | w2v_20240921_0_mc8_w21_v100 	| cos 	| spearmanr | 0.0166 | 0.0 | 32.5s 
20240922_0719 | w2v_20240921_1_mc3_w21_v250 	| euc 	| pearsonr | 0.0116 | 0.0 | 24.7s 
20240922_0719 | w2v_20240921_1_mc3_w21_v250 	| euc 	| spearmanr | 0.0179 | 0.0 | 44.83s 
20240922_0719 | w2v_20240921_1_mc3_w21_v250 	| cos 	| pearsonr | -0.0147 | 0.0 | 54.03s 
20240922_0719 | w2v_20240921_1_mc3_w21_v250 	| cos 	| spearmanr | -0.0227 | 0.0 | 55.47s 
20240922_0719 | w2v_20240920_1_mc3_w21_v5_g50 	| euc 	| pearsonr | 0.0716 | 0.0 | 36.81s 
20240922_0719 | w2v_20240920_1_mc3_w21_v5_g50 	| euc 	| spearmanr | 0.084 | 0.0 | 48.92s 
20240922_0719 | w2v_20240920_1_mc3_w21_v5_g50 	| cos 	| pearsonr | 0.044 | 0.0 | 29.6s 
20240922_0719 | w2v_20240920_1_mc3_w21_v5_g50 	| cos 	| spearmanr | 0.0493 | 0.0 | 50.97s 
20240922_0719 | w2v_20240920_1_mc5_w44_v25_g50 	| euc 	| pearsonr | 0.0816 | 0.0 | 28.58s 
20240922_0719 | w2v_20240920_1_mc5_w44_v25_g50 	| euc 	| spearmanr | 0.106 | 0.0 | 40.68s 
20240922_0719 | w2v_20240920_1_mc5_w44_v25_g50 	| cos 	| pearsonr | 0.0247 | 0.0 | 19.93s 
20240922_0719 | w2v_20240920_1_mc5_w44_v25_g50 	| cos 	| spearmanr | 0.0242 | 0.0 | 50.62s 
20240922_0719 | w2v_20240921_0_mc3_w13_v100 	| euc 	| pearsonr | 0.0535 | 0.0 | 40.54s 
20240922_0719 | w2v_20240921_0_mc3_w13_v100 	| euc 	| spearmanr | 0.0613 | 0.0 | 61.43s 
20240922_0719 | w2v_20240921_0_mc3_w13_v100 	| cos 	| pearsonr | 0.0108 | 0.0 | 32.15s 
20240922_0719 | w2v_20240921_0_mc3_w13_v100 	| cos 	| spearmanr | 0.0122 | 0.0 | 46.71s 
20240922_0719 | w2v_20240921_1_mc3_w44_v250 	| euc 	| pearsonr | 0.015 | 0.0 | 37.28s 
20240922_0719 | w2v_20240921_1_mc3_w44_v250 	| euc 	| spearmanr | 0.0212 | 0.0 | 39.51s 
20240922_0719 | w2v_20240921_1_mc3_w44_v250 	| cos 	| pearsonr | -0.0141 | 0.0 | 32.25s 
20240922_0719 | w2v_20240921_1_mc3_w44_v250 	| cos 	| spearmanr | -0.0219 | 0.0 | 49.88s 
20240922_0719 | w2v_20240921_0_mc3_w13_v50 	| euc 	| pearsonr | 0.0552 | 0.0 | 32.09s 
20240922_0719 | w2v_20240921_0_mc3_w13_v50 	| euc 	| spearmanr | 0.0653 | 0.0 | 38.68s 
20240922_0719 | w2v_20240921_0_mc3_w13_v50 	| cos 	| pearsonr | 0.0151 | 0.0 | 22.91s 
20240922_0719 | w2v_20240921_0_mc3_w13_v50 	| cos 	| spearmanr | 0.0174 | 0.0 | 45.41s 
20240922_0719 | w2v_20240920_1_mc8_w21_v25_g50 	| euc 	| pearsonr | 0.0837 | 0.0 | 15.84s 
20240922_0719 | w2v_20240920_1_mc8_w21_v25_g50 	| euc 	| spearmanr | 0.1078 | 0.0 | 32.72s 
20240922_0719 | w2v_20240920_1_mc8_w21_v25_g50 	| cos 	| pearsonr | 0.0267 | 0.0 | 17.51s 
20240922_0719 | w2v_20240920_1_mc8_w21_v25_g50 	| cos 	| spearmanr | 0.0265 | 0.0 | 32.44s 
20240922_0719 | w2v_20240920_0_mc8_w44_v5_g50 	| euc 	| pearsonr | 0.0774 | 0.0 | 15.54s 
20240922_0719 | w2v_20240920_0_mc8_w44_v5_g50 	| euc 	| spearmanr | 0.0871 | 0.0 | 29.89s 
20240922_0719 | w2v_20240920_0_mc8_w44_v5_g50 	| cos 	| pearsonr | 0.0315 | 0.0 | 15.9s 
20240922_0719 | w2v_20240920_0_mc8_w44_v5_g50 	| cos 	| spearmanr | 0.0296 | 0.0 | 32.83s 
20240922_0719 | w2v_20240921_0_mc8_w44_v100 	| euc 	| pearsonr | 0.0592 | 0.0 | 16.51s 
20240922_0719 | w2v_20240921_0_mc8_w44_v100 	| euc 	| spearmanr | 0.066 | 0.0 | 29.28s 
20240922_0719 | w2v_20240921_0_mc8_w44_v100 	| cos 	| pearsonr | 0.0185 | 0.0 | 17.34s 
20240922_0719 | w2v_20240921_0_mc8_w44_v100 	| cos 	| spearmanr | 0.0187 | 0.0 | 31.77s 
20240922_0719 | w2v_20240920_0_mc8_w13_v25_g50 	| euc 	| pearsonr | 0.0558 | 0.0 | 16.42s 
20240922_0719 | w2v_20240920_0_mc8_w13_v25_g50 	| euc 	| spearmanr | 0.0666 | 0.0 | 29.59s 
20240922_0719 | w2v_20240920_0_mc8_w13_v25_g50 	| cos 	| pearsonr | 0.0314 | 0.0 | 19.1s 
20240922_0719 | w2v_20240920_0_mc8_w13_v25_g50 	| cos 	| spearmanr | 0.0337 | 0.0 | 30.52s 
20240922_0719 | w2v_20240921_1_mc5_w13_v500 	| euc 	| pearsonr | -0.015 | 0.0 | 17.04s 
20240922_0719 | w2v_20240921_1_mc5_w13_v500 	| euc 	| spearmanr | -0.0115 | 0.0 | 38.31s 
20240922_0719 | w2v_20240921_1_mc5_w13_v500 	| cos 	| pearsonr | -0.0303 | 0.0 | 32.29s 
20240922_0719 | w2v_20240921_1_mc5_w13_v500 	| cos 	| spearmanr | -0.041 | 0.0 | 40.08s 
20240922_0719 | w2v_20240920_1_mc5_w13_v5_g50 	| euc 	| pearsonr | 0.0716 | 0.0 | 24.51s 
20240922_0719 | w2v_20240920_1_mc5_w13_v5_g50 	| euc 	| spearmanr | 0.0825 | 0.0 | 34.21s 
20240922_0719 | w2v_20240920_1_mc5_w13_v5_g50 	| cos 	| pearsonr | 0.0477 | 0.0 | 17.48s 
20240922_0719 | w2v_20240920_1_mc5_w13_v5_g50 	| cos 	| spearmanr | 0.0521 | 0.0 | 37.86s 
20240922_0719 | w2v_20240921_1_mc8_w13_v250 	| euc 	| pearsonr | -0.0025 | 0.0 | 17.06s 
20240922_0719 | w2v_20240921_1_mc8_w13_v250 	| euc 	| spearmanr | 0.0047 | 0.0 | 30.1s 
20240922_0719 | w2v_20240921_1_mc8_w13_v250 	| cos 	| pearsonr | -0.0269 | 0.0 | 15.8s 
20240922_0719 | w2v_20240921_1_mc8_w13_v250 	| cos 	| spearmanr | -0.0346 | 0.0 | 30.43s 
20240922_0719 | w2v_20240921_1_mc3_w21_v500 	| euc 	| pearsonr | -0.0029 | 0.0 | 19.17s 
20240922_0719 | w2v_20240921_1_mc3_w21_v500 	| euc 	| spearmanr | -0.0002 | 0.0492 | 39.27s 
20240922_0719 | w2v_20240921_1_mc3_w21_v500 	| cos 	| pearsonr | -0.0183 | 0.0 | 26.91s 
20240922_0719 | w2v_20240921_1_mc3_w21_v500 	| cos 	| spearmanr | -0.0293 | 0.0 | 41.2s 
20240922_0719 | w2v_20240920_0_mc3_w44_v5_g50 	| euc 	| pearsonr | 0.0785 | 0.0 | 34.01s 
20240922_0719 | w2v_20240920_0_mc3_w44_v5_g50 	| euc 	| spearmanr | 0.0859 | 0.0 | 31.4s 
20240922_0719 | w2v_20240920_0_mc3_w44_v5_g50 	| cos 	| pearsonr | 0.0285 | 0.0 | 23.59s 
20240922_0719 | w2v_20240920_0_mc3_w44_v5_g50 	| cos 	| spearmanr | 0.0265 | 0.0 | 38.38s 
20240922_0719 | w2v_20240921_0_mc5_w21_v100 	| euc 	| pearsonr | 0.0544 | 0.0 | 15.18s 
20240922_0719 | w2v_20240921_0_mc5_w21_v100 	| euc 	| spearmanr | 0.0613 | 0.0 | 34.83s 
20240922_0719 | w2v_20240921_0_mc5_w21_v100 	| cos 	| pearsonr | 0.0127 | 0.0 | 16.27s 
20240922_0719 | w2v_20240921_0_mc5_w21_v100 	| cos 	| spearmanr | 0.0138 | 0.0 | 38.87s 
20240922_0719 | w2v_20240921_1_mc3_w13_v500 	| euc 	| pearsonr | -0.0047 | 0.0 | 21.0s 
20240922_0719 | w2v_20240921_1_mc3_w13_v500 	| euc 	| spearmanr | -0.0016 | 0.0 | 38.78s 
20240922_0719 | w2v_20240921_1_mc3_w13_v500 	| cos 	| pearsonr | -0.0199 | 0.0 | 28.88s 
20240922_0719 | w2v_20240921_1_mc3_w13_v500 	| cos 	| spearmanr | -0.0313 | 0.0 | 37.66s 
20240922_0719 | w2v_20240920_0_mc3_w21_v5_g50 	| euc 	| pearsonr | 0.0823 | 0.0 | 24.91s 
20240922_0719 | w2v_20240920_0_mc3_w21_v5_g50 	| euc 	| spearmanr | 0.0864 | 0.0 | 33.7s 
20240922_0719 | w2v_20240920_0_mc3_w21_v5_g50 	| cos 	| pearsonr | 0.0316 | 0.0 | 21.74s 
20240922_0719 | w2v_20240920_0_mc3_w21_v5_g50 	| cos 	| spearmanr | 0.0298 | 0.0 | 43.0s 
20240922_0719 | w2v_20240921_1_mc3_w13_v50 	| euc 	| pearsonr | 0.0685 | 0.0 | 20.53s 
