20240917_1900 | w2v_20240911_sg1_mc1_w13_v25 	| cos 	| 0.9763 	|  0.0237 | 0.0196 | 55.28s 
20240917_1900 | w2v_20240911_skip_mc5_w3_v10 	| euc 	| 0.9665 	|  0.0335 | 0.0196 | 30.1s 
20240917_1900 | w2v_20240911_skip_mc5_w3_v10 	| cos 	| 0.956 	|  0.044 | 0.0196 | 28.64s 
20240917_1900 | w2v_20240910_sg1_mc3_w5_v10 	| euc 	| 0.9618 	|  0.0382 | 0.0196 | 30.67s 
20240917_1900 | w2v_20240910_sg1_mc3_w5_v10 	| cos 	| 0.9624 	|  0.0376 | 0.0196 | 33.47s 
20240917_1900 | w2v_20240911_sg1_mc1_w13_v5 	| euc 	| 0.9658 	|  0.0342 | 0.0196 | 53.76s 
20240917_1900 | w2v_20240911_sg1_mc1_w13_v5 	| cos 	| 0.9836 	|  0.0164 | 0.0196 | 60.35s 
20240917_1900 | w2v_20240911_skip_mc5_w8_v10 	| euc 	| 0.9576 	|  0.0424 | 0.0196 | 35.47s 
20240917_1900 | w2v_20240911_skip_mc5_w8_v10 	| cos 	| 0.9617 	|  0.0383 | 0.0196 | 29.12s 
20240917_1900 | w2v_20240912_skip_mc8_w21_v50 	| euc 	| 0.9426 	|  0.0574 | 0.0196 | 22.31s 
20240917_1900 | w2v_20240912_skip_mc8_w21_v50 	| cos 	| 0.9783 	|  0.0217 | 0.0196 | 20.22s 
20240917_1900 | w2v_20240912_skip_mc8_w8_v25 	| euc 	| 0.9381 	|  0.0619 | 0.0196 | 18.67s 
20240917_1900 | w2v_20240912_skip_mc8_w8_v25 	| cos 	| 0.9572 	|  0.0428 | 0.0196 | 19.18s 
20240917_1900 | w2v_20240911_skip_mc5_w5_v5 	| euc 	| 0.9554 	|  0.0446 | 0.0196 | 20.56s 
20240917_1900 | w2v_20240911_skip_mc5_w5_v5 	| cos 	| 0.9563 	|  0.0437 | 0.0196 | 26.45s 
20240917_1900 | w2v_20240912_skip_mc8_w13_v10 	| euc 	| 0.9553 	|  0.0447 | 0.0196 | 24.36s 
20240917_1900 | w2v_20240912_skip_mc8_w13_v10 	| cos 	| 0.9694 	|  0.0306 | 0.0196 | 17.96s 
20240917_1900 | w2v_20240911_skip_mc5_w5_v10 	| euc 	| 0.9629 	|  0.0371 | 0.0196 | 21.99s 
20240917_1900 | w2v_20240911_skip_mc5_w5_v10 	| cos 	| 0.9585 	|  0.0415 | 0.0196 | 26.33s 
20240917_1900 | w2v_20240910_sg1_mc3_w8_v10 	| euc 	| 0.9575 	|  0.0425 | 0.0196 | 30.24s 
20240917_1900 | w2v_20240910_sg1_mc3_w8_v10 	| cos 	| 0.9631 	|  0.0369 | 0.0196 | 30.21s 
20240917_1900 | w2v_20240911_skip_mc5_w13_v50 	| euc 	| 0.9463 	|  0.0537 | 0.0196 | 31.07s 
20240917_1900 | w2v_20240911_skip_mc5_w13_v50 	| cos 	| 0.9784 	|  0.0216 | 0.0196 | 20.81s 
20240917_1900 | w2v_20240912_skip_mc8_w5_v25 	| euc 	| 0.9416 	|  0.0584 | 0.0196 | 22.77s 
20240917_1900 | w2v_20240912_skip_mc8_w5_v25 	| cos 	| 0.9537 	|  0.0463 | 0.0196 | 18.89s 
20240917_1900 | w2v_20240912_skip_mc8_w21_v5 	| euc 	| 0.9651 	|  0.0349 | 0.0196 | 20.56s 
20240917_1900 | w2v_20240912_skip_mc8_w21_v5 	| cos 	| 0.9609 	|  0.0391 | 0.0196 | 23.3s 
20240917_1900 | w2v_20240912_skip_mc8_w8_v5 	| euc 	| 0.9695 	|  0.0305 | 0.0196 | 21.56s 
20240917_1900 | w2v_20240912_skip_mc8_w8_v5 	| cos 	| 0.9475 	|  0.0525 | 0.0196 | 19.3s 
20240917_1900 | w2v_20240910_sg1_mc3_w21_v25 	| euc 	| 0.9373 	|  0.0627 | 0.0196 | 32.03s 
20240917_1900 | w2v_20240910_sg1_mc3_w21_v25 	| cos 	| 0.9638 	|  0.0362 | 0.0196 | 34.4s 
20240917_1900 | w2v_20240911_skip_mc5_w21_v10 	| euc 	| 0.9544 	|  0.0456 | 0.0196 | 26.85s 
20240917_1900 | w2v_20240911_skip_mc5_w21_v10 	| cos 	| 0.9701 	|  0.0299 | 0.0196 | 28.72s 
