20240917_2352 | w2v_20240911_skip_mc5_w3_v10 	| cos 	| spearmanr | 0.0466 | 0.0 | 37.0s 
20240917_2352 | w2v_20240910_sg1_mc3_w5_v10 	| euc 	| pearsonr | 0.0382 | 0.0 | 23.55s 
20240917_2352 | w2v_20240910_sg1_mc3_w5_v10 	| euc 	| spearmanr | 0.0544 | 0.0 | 40.09s 
20240917_2352 | w2v_20240910_sg1_mc3_w5_v10 	| cos 	| pearsonr | 0.0376 | 0.0 | 23.92s 
20240917_2352 | w2v_20240910_sg1_mc3_w5_v10 	| cos 	| spearmanr | 0.0404 | 0.0 | 41.83s 
20240917_2352 | w2v_20240911_sg1_mc1_w13_v5 	| euc 	| pearsonr | 0.0342 | 0.0 | 36.92s 
20240917_2352 | w2v_20240911_sg1_mc1_w13_v5 	| euc 	| spearmanr | 0.0451 | 0.0 | 41.65s 
20240917_2352 | w2v_20240911_sg1_mc1_w13_v5 	| cos 	| pearsonr | 0.0164 | 0.0 | 46.63s 
20240917_2352 | w2v_20240911_sg1_mc1_w13_v5 	| cos 	| spearmanr | 0.0247 | 0.0 | 59.11s 
20240917_2352 | w2v_20240911_skip_mc5_w8_v10 	| euc 	| pearsonr | 0.0424 | 0.0 | 21.81s 
20240917_2352 | w2v_20240911_skip_mc5_w8_v10 	| euc 	| spearmanr | 0.0594 | 0.0 | 37.63s 
20240917_2352 | w2v_20240911_skip_mc5_w8_v10 	| cos 	| pearsonr | 0.0383 | 0.0 | 18.37s 
20240917_2352 | w2v_20240911_skip_mc5_w8_v10 	| cos 	| spearmanr | 0.0408 | 0.0 | 35.06s 
20240917_2352 | w2v_20240912_skip_mc8_w21_v50 	| euc 	| pearsonr | 0.0574 | 0.0 | 14.01s 
20240917_2352 | w2v_20240912_skip_mc8_w21_v50 	| euc 	| spearmanr | 0.0792 | 0.0 | 31.56s 
20240917_2352 | w2v_20240912_skip_mc8_w21_v50 	| cos 	| pearsonr | 0.0217 | 0.0 | 16.8s 
20240917_2352 | w2v_20240912_skip_mc8_w21_v50 	| cos 	| spearmanr | 0.0247 | 0.0 | 30.67s 
20240917_2352 | w2v_20240912_skip_mc8_w8_v25 	| euc 	| pearsonr | 0.0619 | 0.0 | 14.93s 
20240917_2352 | w2v_20240912_skip_mc8_w8_v25 	| euc 	| spearmanr | 0.0852 | 0.0 | 29.24s 
20240917_2352 | w2v_20240912_skip_mc8_w8_v25 	| cos 	| pearsonr | 0.0428 | 0.0 | 13.06s 
20240917_2352 | w2v_20240912_skip_mc8_w8_v25 	| cos 	| spearmanr | 0.046 | 0.0 | 34.31s 
20240917_2352 | w2v_20240911_skip_mc5_w5_v5 	| euc 	| pearsonr | 0.0446 | 0.0 | 19.61s 
20240917_2352 | w2v_20240911_skip_mc5_w5_v5 	| euc 	| spearmanr | 0.0553 | 0.0 | 33.03s 
20240917_2352 | w2v_20240911_skip_mc5_w5_v5 	| cos 	| pearsonr | 0.0437 | 0.0 | 17.67s 
20240917_2352 | w2v_20240911_skip_mc5_w5_v5 	| cos 	| spearmanr | 0.0494 | 0.0 | 33.45s 
20240917_2352 | w2v_20240912_skip_mc8_w13_v10 	| euc 	| pearsonr | 0.0447 | 0.0 | 16.9s 
20240917_2352 | w2v_20240912_skip_mc8_w13_v10 	| euc 	| spearmanr | 0.0626 | 0.0 | 28.81s 
20240917_2352 | w2v_20240912_skip_mc8_w13_v10 	| cos 	| pearsonr | 0.0306 | 0.0 | 15.01s 
20240917_2352 | w2v_20240912_skip_mc8_w13_v10 	| cos 	| spearmanr | 0.0331 | 0.0 | 33.02s 
20240917_2352 | w2v_20240911_skip_mc5_w5_v10 	| euc 	| pearsonr | 0.0371 | 0.0 | 17.97s 
20240917_2352 | w2v_20240911_skip_mc5_w5_v10 	| euc 	| spearmanr | 0.0531 | 0.0 | 34.59s 
20240917_2352 | w2v_20240911_skip_mc5_w5_v10 	| cos 	| pearsonr | 0.0415 | 0.0 | 17.6s 
20240917_2352 | w2v_20240911_skip_mc5_w5_v10 	| cos 	| spearmanr | 0.0446 | 0.0 | 39.77s 
20240917_2352 | w2v_20240910_sg1_mc3_w8_v10 	| euc 	| pearsonr | 0.0425 | 0.0 | 20.3s 
20240917_2352 | w2v_20240910_sg1_mc3_w8_v10 	| euc 	| spearmanr | 0.0596 | 0.0 | 37.6s 
20240917_2352 | w2v_20240910_sg1_mc3_w8_v10 	| cos 	| pearsonr | 0.0369 | 0.0 | 22.54s 
20240917_2352 | w2v_20240910_sg1_mc3_w8_v10 	| cos 	| spearmanr | 0.0391 | 0.0 | 42.63s 
20240917_2352 | w2v_20240911_skip_mc5_w13_v50 	| euc 	| pearsonr | 0.0537 | 0.0 | 18.27s 
20240917_2352 | w2v_20240911_skip_mc5_w13_v50 	| euc 	| spearmanr | 0.0745 | 0.0 | 33.72s 
20240917_2352 | w2v_20240911_skip_mc5_w13_v50 	| cos 	| pearsonr | 0.0216 | 0.0 | 18.55s 
20240917_2352 | w2v_20240911_skip_mc5_w13_v50 	| cos 	| spearmanr | 0.0249 | 0.0 | 37.16s 
20240917_2352 | w2v_20240912_skip_mc8_w5_v25 	| euc 	| pearsonr | 0.0584 | 0.0 | 17.38s 
20240917_2352 | w2v_20240912_skip_mc8_w5_v25 	| euc 	| spearmanr | 0.0802 | 0.0 | 34.36s 
20240917_2352 | w2v_20240912_skip_mc8_w5_v25 	| cos 	| pearsonr | 0.0463 | 0.0 | 14.61s 
20240917_2352 | w2v_20240912_skip_mc8_w5_v25 	| cos 	| spearmanr | 0.05 | 0.0 | 29.47s 
20240917_2352 | w2v_20240912_skip_mc8_w21_v5 	| euc 	| pearsonr | 0.0349 | 0.0 | 11.86s 
20240917_2352 | w2v_20240912_skip_mc8_w21_v5 	| euc 	| spearmanr | 0.0443 | 0.0 | 32.92s 
20240917_2352 | w2v_20240912_skip_mc8_w21_v5 	| cos 	| pearsonr | 0.0391 | 0.0 | 12.55s 
20240917_2352 | w2v_20240912_skip_mc8_w21_v5 	| cos 	| spearmanr | 0.0414 | 0.0 | 32.26s 
20240917_2352 | w2v_20240912_skip_mc8_w8_v5 	| euc 	| pearsonr | 0.0305 | 0.0 | 12.98s 
20240917_2352 | w2v_20240912_skip_mc8_w8_v5 	| euc 	| spearmanr | 0.0419 | 0.0 | 30.62s 
20240917_2352 | w2v_20240912_skip_mc8_w8_v5 	| cos 	| pearsonr | 0.0525 | 0.0 | 12.31s 
20240917_2352 | w2v_20240912_skip_mc8_w8_v5 	| cos 	| spearmanr | 0.0556 | 0.0 | 31.49s 
20240917_2352 | w2v_20240910_sg1_mc3_w21_v25 	| euc 	| pearsonr | 0.0627 | 0.0 | 27.63s 
20240917_2352 | w2v_20240910_sg1_mc3_w21_v25 	| euc 	| spearmanr | 0.0857 | 0.0 | 35.75s 
20240917_2352 | w2v_20240910_sg1_mc3_w21_v25 	| cos 	| pearsonr | 0.0362 | 0.0 | 20.62s 
20240917_2352 | w2v_20240910_sg1_mc3_w21_v25 	| cos 	| spearmanr | 0.0377 | 0.0 | 40.79s 
20240917_2352 | w2v_20240911_skip_mc5_w21_v10 	| euc 	| pearsonr | 0.0456 | 0.0 | 19.19s 
20240917_2352 | w2v_20240911_skip_mc5_w21_v10 	| euc 	| spearmanr | 0.0628 | 0.0 | 31.53s 
20240917_2352 | w2v_20240911_skip_mc5_w21_v10 	| cos 	| pearsonr | 0.0299 | 0.0 | 17.78s 
20240917_2352 | w2v_20240911_skip_mc5_w21_v10 	| cos 	| spearmanr | 0.0319 | 0.0 | 33.73s 
20240917_2352 | w2v_20240910_sg1_mc8_w44_v50 	| euc 	| pearsonr | 0.0601 | 0.0 | 17.34s 
20240917_2352 | w2v_20240910_sg1_mc8_w44_v50 	| euc 	| spearmanr | 0.0804 | 0.0 | 33.49s 
20240917_2352 | w2v_20240910_sg1_mc8_w44_v50 	| cos 	| pearsonr | 0.0214 | 0.0 | 15.37s 
20240917_2352 | w2v_20240910_sg1_mc8_w44_v50 	| cos 	| spearmanr | 0.0233 | 0.0 | 34.29s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v25 	| euc 	| pearsonr | 0.0646 | 0.0 | 20.63s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v25 	| euc 	| spearmanr | 0.0858 | 0.0 | 30.22s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v25 	| cos 	| pearsonr | 0.0301 | 0.0 | 18.9s 
20240917_2352 | w2v_20240911_skip_mc5_w44_v25 	| cos 	| spearmanr | 0.0302 | 0.0 | 33.9s 
20240917_2352 | w2v_20240910_sg1_mc3_w44_v10 	| euc 	| pearsonr | 0.0484 | 0.0 | 25.02s 
20240917_2352 | w2v_20240910_sg1_mc3_w44_v10 	| euc 	| spearmanr | 0.0653 | 0.0 | 36.6s 
20240917_2352 | w2v_20240910_sg1_mc3_w44_v10 	| cos 	| pearsonr | 0.0263 | 0.0 | 20.56s 
20240917_2352 | w2v_20240910_sg1_mc3_w44_v10 	| cos 	| spearmanr | 0.0268 | 0.0 | 38.84s 
